cds	UniProtKB.AC	Taxonomy	GOID	TERM
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117019_c9_g4_i2:388-1791(-)	A0A072Q639	Fungi	GO:0006415	translational termination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117020_c0_g2_i10:108-800(+)	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117020_c0_g2_i3:108-962(+)	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117021_c2_g1_i2:3-434(+)	A2IA39	Viridiplantae	GO:0009058	biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117043_c0_g1_i5:635-2248(-)	S6FBU0	Viridiplantae	GO:0006914	autophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117043_c0_g1_i6:649-2565(-)	S6FBU0	Viridiplantae	GO:0006914	autophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117043_c0_g1_i7:197-2113(-)	S6FBU0	Viridiplantae	GO:0006914	autophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117047_c4_g3_i1:16-1284(-)	E9NZS7	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117047_c5_g3_i2:2-1072(+)	E9NZS7	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117050_c0_g1_i1:3-584(+)	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117071_c0_g1_i1:149-3577(+)	A0A0C4W3E0	Viridiplantae	GO:0031047	gene silencing by RNA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117077_c2_g2_i1:111-1421(-)	A0A0D6RA13	Viridiplantae	GO:0006885	regulation of pH
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g2_i5:133-624(+)	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g3_i1:133-585(+)	A9P0V0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i1:174-731(+)	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i2:3-608(+)	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i3:174-719(+)	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i4:343-888(+)	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c2_g1_i1:1-399(+)	A0A2S3HYX2	Viridiplantae	GO:0009860	pollen tube growth
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c2_g1_i1:1-399(+)	A0A2S3HYX2	Viridiplantae	GO:1902456	regulation of stomatal opening
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c2_g1_i1:1-399(+)	A0A2S3HYX2	Viridiplantae	GO:0010118	stomatal movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c3_g1_i2:550-2034(-)	W1P649	Viridiplantae	GO:0009860	pollen tube growth
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c3_g1_i2:550-2034(-)	W1P649	Viridiplantae	GO:1902456	regulation of stomatal opening
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c3_g1_i2:550-2034(-)	W1P649	Viridiplantae	GO:0010118	stomatal movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117134_c5_g4_i7:146-1468(-)	A0A074XSP2	Fungi	GO:0006104	succinyl-CoA metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117134_c5_g4_i7:146-1468(-)	A0A074XSP2	Fungi	GO:0006099	tricarboxylic acid cycle
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117141_c0_g3_i4:134-1486(+)	W1NYN1	Viridiplantae	GO:0016567	protein ubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117141_c0_g3_i4:134-1486(+)	W1NYN1	Viridiplantae	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117141_c0_g3_i4:134-1486(+)	W1NYN1	Viridiplantae	GO:0006511	ubiquitin-dependent protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i1:470-1303(+)	A9NQC7	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i1:470-1303(+)	A9NQC7	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i2:591-1388(+)	A9NN79	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i2:591-1388(+)	A9NN79	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i4:591-1421(+)	A9NN79	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i4:591-1421(+)	A9NN79	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117182_c4_g1_i3:309-2795(+)	A0A1U8B4B8	Viridiplantae	GO:0048544	recognition of pollen
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117207_c1_g4_i1:30-494(-)	A0A2P6NQB6	Evosea	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117239_c9_g1_i1:3-443(+)	H6C4G0	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117244_c2_g1_i1:2-1135(+)	A0A1U8A088	Viridiplantae	GO:0051560	mitochondrial calcium ion homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117264_c0_g1_i1:124-783(-)	A9NTK7	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117264_c0_g1_i2:124-783(-)	A9NR54	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117266_c1_g1_i1:2-298(-)	D5A9K4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117266_c2_g2_i2:2-403(+)	A9NXS5	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117266_c2_g3_i2:1-453(+)	A9NWA3	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117268_c0_g1_i2:243-1553(-)	A0A4S9QQN9	Fungi	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117276_c0_g1_i2:2-436(+)	G8C852	Viridiplantae	GO:0006596	polyamine biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117287_c0_g1_i1:2-2230(+)	A0A4V4L2N1	Fungi	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117324_c1_g1_i6:120-581(-)	A9NPZ3	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117350_c0_g1_i1:2-367(-)	B8LRC3	Viridiplantae	GO:0006086	acetyl-CoA biosynthetic process from pyruvate
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117364_c0_g1_i1:453-4433(+)	U5D136	Viridiplantae	GO:0043622	cortical microtubule organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117364_c0_g1_i1:453-4433(+)	U5D136	Viridiplantae	GO:0007017	microtubule-based process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117367_c1_g11_i1:3-314(-)	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117367_c1_g3_i12:1-729(-)	B8LQ36	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117367_c1_g3_i3:3-665(-)	B8LQH9	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117367_c1_g3_i5:1-753(-)	B8LQ36	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117367_c1_g3_i6:3-554(-)	B8LQ36	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117367_c1_g3_i7:1-738(-)	B8LQ36	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117374_c0_g2_i1:1-786(+)	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117374_c0_g2_i2:514-1581(+)	Q8L8J1	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117441_c0_g1_i1:3-3593(+)	A0A0K0M7B1	Viridiplantae	GO:0031047	gene silencing by RNA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117441_c0_g1_i1:3-3593(+)	A0A0K0M7B1	Viridiplantae	GO:0006396	RNA processing
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117450_c2_g2_i1:206-610(-)	A0A4Q4Y4I2	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i1:2-838(+)	A0A2K1IEX5	Viridiplantae	GO:0006013	mannose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i1:2-838(+)	A0A2K1IEX5	Viridiplantae	GO:0006517	protein deglycosylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i3:2-763(+)	A0A2K1IEX5	Viridiplantae	GO:0006013	mannose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i3:2-763(+)	A0A2K1IEX5	Viridiplantae	GO:0006517	protein deglycosylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i5:2-838(+)	A0A2K1IEX5	Viridiplantae	GO:0006013	mannose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i5:2-838(+)	A0A2K1IEX5	Viridiplantae	GO:0006517	protein deglycosylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i8:2-658(+)	A0A2K1IEX5	Viridiplantae	GO:0006013	mannose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117476_c5_g1_i8:2-658(+)	A0A2K1IEX5	Viridiplantae	GO:0006517	protein deglycosylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117483_c0_g2_i1:289-1389(+)	A9NUX2	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117483_c0_g2_i6:289-1389(+)	A9NUX2	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117483_c0_g2_i9:734-2029(+)	A9NWI3	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117495_c2_g1_i2:614-1369(-)	B8LRB6	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117495_c2_g1_i2:614-1369(-)	B8LRB6	Viridiplantae	GO:0019430	removal of superoxide radicals
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117529_c4_g1_i1:376-2244(+)	A0A2K1KJ11	Viridiplantae	GO:0009658	chloroplast organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117529_c4_g1_i1:376-2244(+)	A0A2K1KJ11	Viridiplantae	GO:0032502	developmental process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117529_c4_g1_i1:376-2244(+)	A0A2K1KJ11	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117540_c1_g2_i1:288-1589(-)	A0A0D6QV66	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117543_c0_g1_i2:349-1677(+)	D5ABL1	Viridiplantae	GO:0051726	regulation of cell cycle
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117543_c0_g1_i3:349-1665(+)	D5ABL1	Viridiplantae	GO:0051726	regulation of cell cycle
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117561_c4_g8_i2:298-1077(-)	I0Z846	Viridiplantae	GO:0009765	photosynthesis, light harvesting
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117561_c4_g8_i2:298-1077(-)	I0Z846	Viridiplantae	GO:0018298	protein-chromophore linkage
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117577_c0_g2_i1:83-1036(+)	A9NXF2	Viridiplantae	GO:0006357	regulation of transcription by RNA polymerase II
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117583_c0_g1_i2:284-916(-)	A0A0D2H4P6	Fungi	GO:0006886	intracellular protein transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117594_c8_g1_i1:212-1027(-)	A0A0D1X894	Fungi	GO:0042254	ribosome biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117626_c3_g1_i1:143-1687(+)	A9NUH0	Viridiplantae	GO:0030245	cellulose catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117636_c0_g1_i2:418-1683(-)	A9P0A1	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117636_c0_g1_i4:223-1395(-)	A9P0A1	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117636_c0_g1_i5:418-1683(-)	A9P0A1	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117660_c0_g1_i1:259-3267(+)	A0A445DTN3	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117687_c0_g1_i1:127-2241(+)	A0A1U7ZZN1	Viridiplantae	GO:0032147	activation of protein kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117687_c0_g1_i1:127-2241(+)	A0A1U7ZZN1	Viridiplantae	GO:0060236	regulation of mitotic spindle organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117687_c0_g1_i2:127-2157(+)	A0A1U7ZZN1	Viridiplantae	GO:0032147	activation of protein kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117687_c0_g1_i2:127-2157(+)	A0A1U7ZZN1	Viridiplantae	GO:0060236	regulation of mitotic spindle organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117709_c0_g1_i1:420-1994(+)	A0A0K0M6U8	Viridiplantae	GO:0009690	cytokinin metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117710_c0_g1_i1:527-2047(-)	U5DDD7	Viridiplantae	GO:0044772	mitotic cell cycle phase transition
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117710_c0_g1_i1:527-2047(-)	U5DDD7	Viridiplantae	GO:0006468	protein phosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117710_c0_g1_i1:527-2047(-)	U5DDD7	Viridiplantae	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117726_c0_g1_i1:707-1936(-)	A0A4Y7IRA5	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117745_c1_g1_i1:199-1005(-)	H6BQY8	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117748_c3_g8_i1:2-367(+)	A9P1S9	Viridiplantae	GO:0009415	response to water
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117748_c3_g8_i10:2-325(+)	A9P1S9	Viridiplantae	GO:0009415	response to water
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117748_c3_g8_i2:2-385(+)	A9P1S9	Viridiplantae	GO:0009415	response to water
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117748_c3_g8_i5:242-622(+)	A9XLM5	Viridiplantae	GO:0009415	response to water
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117759_c2_g1_i1:1-528(+)	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117759_c2_g1_i2:1-486(+)	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117759_c2_g3_i1:3-554(+)	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117759_c3_g8_i1:191-493(+)	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0032147	activation of protein kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0000422	autophagy of mitochondrion
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0044804	autophagy of nucleus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0016236	macroautophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0000423	mitophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0034727	piecemeal microautophagy of the nucleus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117765_c0_g1_i2:2003-4288(+)	A9S9Z6	Viridiplantae	GO:0034497	protein localization to phagophore assembly site
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117766_c0_g1_i5:403-1185(-)	A9NRP4	Viridiplantae	GO:0006725	cellular aromatic compound metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117775_c2_g1_i4:1-1107(-)	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117783_c3_g3_i1:1-2034(+)	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117783_c3_g4_i5:3-1175(+)	E9NZS7	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117793_c1_g1_i1:93-2546(-)	W1P7V6	Viridiplantae	GO:0016042	lipid catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117793_c1_g1_i1:93-2546(-)	W1P7V6	Viridiplantae	GO:0046470	phosphatidylcholine metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117849_c0_g1_i3:412-1344(-)	A0A0D6QYX2	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117849_c0_g1_i3:412-1344(-)	A0A0D6QYX2	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117851_c2_g2_i1:291-908(-)	A0A0D6R4S6	Viridiplantae	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117853_c1_g6_i1:1-480(+)	A0A084G9V0	Fungi	GO:0015986	ATP synthesis coupled proton transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117854_c4_g1_i4:1-1071(+)	A0A4V3SI36	Fungi	GO:0006006	glucose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117854_c4_g1_i4:1-1071(+)	A0A4V3SI36	Fungi	GO:0006096	glycolytic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN11785_c0_g1_i1:23-1144(+)	A0A2X0KTW2	Fungi	GO:0042183	formate catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117860_c3_g3_i1:3-785(+)	A0A2P6NS31	Evosea	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117860_c3_g3_i2:2-781(+)	A0A2P6NS31	Evosea	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117890_c0_g1_i1:377-1999(-)	A0A443N9G4	Viridiplantae	GO:0009630	gravitropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117890_c0_g1_i2:3-998(-)	A0A175YS67	Viridiplantae	GO:0009630	gravitropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117899_c3_g2_i3:285-1061(-)	A0A0N1NX25	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117941_c0_g4_i1:2-697(+)	Q8L8I7	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117942_c0_g5_i2:3-302(+)	A9NN25	Viridiplantae	GO:0015986	ATP synthesis coupled proton transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117942_c0_g9_i1:3-446(+)	A9NN25	Viridiplantae	GO:0015986	ATP synthesis coupled proton transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117946_c1_g3_i1:1-324(+)	E3Q1W9	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117966_c3_g8_i10:266-649(-)	A0A074XBN6	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117966_c3_g8_i15:137-586(-)	A0A0G2HEP5	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117966_c3_g9_i2:218-685(-)	A0A2D3UWQ2	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117973_c0_g1_i1:481-1449(-)	Q5DWG1	Viridiplantae	GO:0006952	defense response
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117973_c0_g1_i1:481-1449(-)	Q5DWG1	Viridiplantae	GO:0009737	response to abscisic acid
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117973_c0_g1_i1:481-1449(-)	Q5DWG1	Viridiplantae	GO:0009607	response to biotic stimulus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117992_c0_g1_i1:246-809(-)	A0A1L1ZLU2	Viridiplantae	GO:0019953	sexual reproduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117992_c0_g1_i4:362-1219(-)	A0A1L1ZLU2	Viridiplantae	GO:0019953	sexual reproduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117992_c0_g1_i5:362-1216(-)	A0A1L1ZLU2	Viridiplantae	GO:0019953	sexual reproduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118000_c5_g3_i4:2-775(+)	A0A4U0WJP5	Fungi	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118007_c1_g1_i1:1-507(+)	D5ACS1	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118007_c1_g1_i2:2-1000(+)	A0A0C9S9R3	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118012_c0_g1_i1:3-1340(+)	U5DDA0	Viridiplantae	GO:0032957	inositol trisphosphate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118012_c0_g1_i1:3-1340(+)	U5DDA0	Viridiplantae	GO:0010264	myo-inositol hexakisphosphate biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118012_c0_g1_i2:180-1715(+)	U5DDA0	Viridiplantae	GO:0032957	inositol trisphosphate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118012_c0_g1_i2:180-1715(+)	U5DDA0	Viridiplantae	GO:0010264	myo-inositol hexakisphosphate biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118012_c0_g1_i4:3-1355(+)	U5DDA0	Viridiplantae	GO:0032957	inositol trisphosphate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118012_c0_g1_i4:3-1355(+)	U5DDA0	Viridiplantae	GO:0010264	myo-inositol hexakisphosphate biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118035_c0_g7_i1:3-317(-)	A9NKW3	Viridiplantae	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118044_c0_g1_i3:3-1580(+)	A0A3S3NTL9	Viridiplantae	GO:0042138	meiotic DNA double-strand break formation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118074_c3_g4_i8:2-934(-)	K2S8M9	Fungi	GO:0019521	D-gluconate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118074_c3_g4_i8:2-934(-)	K2S8M9	Fungi	GO:0006098	pentose-phosphate shunt
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN118083_c2_g15_i1:100-807(-)	A9NTM6	Viridiplantae	GO:0042546	cell wall biogenesis
