cds	set	UniProtKB.AC	Taxonomy	GOID	TERM
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115515_c0_g1_i1:236-2455(-)	4	A0A0K0M7B3	Viridiplantae	GO:0006306	DNA methylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115562_c0_g1_i2:39-1481(-)	1	W1NF37	Viridiplantae	GO:0006004	fucose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115611_c0_g1_i1:565-3072(-)	4	A0A443N9M3	Viridiplantae	GO:0006270	DNA replication initiation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115613_c1_g1_i1:190-1818(+)	4	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115641_c0_g2_i1:1-444(+)	1	A0A2P6MYZ7	Evosea	GO:0030042	actin filament depolymerization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115645_c4_g1_i1:1-306(+)	1	A9NW04	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115645_c4_g2_i1:3-314(+)	7	A9NW04	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115645_c4_g5_i11:1-657(+)	4	B8LRI6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115645_c4_g5_i5:3-314(+)	2	A9NW04	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115645_c4_g6_i1:1-657(+)	4	B8LLQ6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115645_c4_g9_i1:3-314(+)	2	A9NW04	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115667_c1_g1_i2:1-567(+)	4	B8LRT2	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115682_c0_g1_i1:1038-2144(-)	3	W1P8R5	Viridiplantae	GO:0048653	anther development
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115682_c0_g1_i1:1038-2144(-)	3	W1P8R5	Viridiplantae	GO:0009555	pollen development
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115686_c0_g1_i1:119-472(+)	3	H6C4V0	Fungi	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115686_c0_g1_i1:119-472(+)	3	H6C4V0	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115690_c0_g1_i1:1448-2137(+)	4	A0A176W9U7	Viridiplantae	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115694_c3_g4_i1:1-381(-)	1	A9NPY6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115724_c2_g4_i1:2-643(-)	4	A0A2K3L9U4	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115724_c2_g4_i2:2-664(-)	1	A0A2K3L9U4	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115771_c2_g1_i1:220-804(-)	3	G1XRF5	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115771_c2_g4_i2:253-777(-)	3	A0A0G2EKB0	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115782_c5_g2_i1:3-743(-)	3	A9NQB1	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115856_c0_g1_i2:204-1676(-)	4	A0A2K1J4Y4	Viridiplantae	GO:0009755	hormone-mediated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115862_c1_g1_i2:3-761(+)	4	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115886_c0_g2_i1:518-1537(-)	1	A9NVW7	Viridiplantae	GO:0008610	lipid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115921_c2_g1_i1:104-1108(+)	4	D5AAS6	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115921_c2_g1_i1:104-1108(+)	4	D5AAS6	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115937_c0_g1_i1:574-2574(+)	4	A0A4S8JYE8	Viridiplantae	GO:0006364	rRNA processing
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115949_c1_g3_i1:139-1071(-)	1	A0A0A0KAF0	Viridiplantae	GO:0009451	RNA modification
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115986_c1_g1_i3:72-1520(+)	4	A0A068V155	Viridiplantae	GO:0006974	cellular response to DNA damage stimulus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i1:191-1018(-)	4	A9NNK0	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i1:191-1018(-)	4	A9NNK0	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i1:191-1018(-)	4	A9NNK0	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i3:200-1027(-)	4	A9NNK0	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i3:200-1027(-)	4	A9NNK0	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i3:200-1027(-)	4	A9NNK0	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i4:200-1027(-)	4	A9NNK0	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i4:200-1027(-)	4	A9NNK0	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN115990_c0_g1_i4:200-1027(-)	4	A9NNK0	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116003_c0_g2_i1:422-1873(-)	4	A0A061DKH2	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116026_c1_g1_i1:448-1368(+)	4	W1P2Q3	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i2:3-386(+)	3	Q5W5I4	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i2:3-386(+)	3	Q5W5I4	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i3:46-1110(+)	3	Q5W5I4	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i3:46-1110(+)	3	Q5W5I4	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i4:49-1110(+)	3	Q5W5I4	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i4:49-1110(+)	3	Q5W5I4	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i5:40-390(+)	3	Q5W5I4	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116028_c0_g2_i5:40-390(+)	3	Q5W5I4	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116036_c1_g1_i1:268-1419(-)	4	A9NU57	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116059_c0_g1_i1:72-689(+)	3	A0A200QTQ0	Viridiplantae	GO:0042742	defense response to bacterium
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116059_c0_g1_i1:72-689(+)	3	A0A200QTQ0	Viridiplantae	GO:0050832	defense response to fungus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116059_c0_g1_i2:72-683(+)	3	A0A200QTQ0	Viridiplantae	GO:0042742	defense response to bacterium
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116059_c0_g1_i2:72-683(+)	3	A0A200QTQ0	Viridiplantae	GO:0050832	defense response to fungus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116106_c1_g2_i3:334-849(-)	8	A0A0D6QUE0	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116140_c0_g1_i1:1-459(-)	4	A9NM96	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116140_c0_g1_i1:1-459(-)	4	A9NM96	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116140_c0_g1_i1:1-459(-)	4	A9NM96	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116162_c1_g1_i2:431-1369(-)	3	A0A0C9RW13	Viridiplantae	GO:0006096	glycolytic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116162_c1_g1_i3:431-898(-)	3	A0A0C9S900	Viridiplantae	GO:0006096	glycolytic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116184_c0_g1_i1:378-998(+)	4	E0Z6M2	Viridiplantae	GO:0009733	response to auxin
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116216_c0_g1_i1:248-3643(+)	4	B9HJL5	Viridiplantae	GO:0009755	hormone-mediated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116229_c1_g2_i1:369-872(-)	3	A9NR43	Viridiplantae	GO:0042742	defense response to bacterium
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116229_c1_g2_i1:369-872(-)	3	A9NR43	Viridiplantae	GO:0050832	defense response to fungus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116273_c0_g1_i1:25-804(-)	2	I0Z4H8	Viridiplantae	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116286_c1_g1_i1:3-356(+)	1	A9NMX0	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116286_c1_g1_i2:32-535(+)	2	A9NMX0	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116286_c1_g1_i3:32-538(+)	1	A9NMX0	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116300_c0_g3_i3:3-560(-)	1	B8LRW1	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116300_c0_g3_i4:348-1586(-)	4	A9NRY8	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116363_c3_g2_i2:216-1532(+)	4	A0A443PYT9	Viridiplantae	GO:0009734	auxin-activated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116363_c4_g1_i1:2-649(+)	4	A0A443PYT9	Viridiplantae	GO:0009734	auxin-activated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116402_c0_g5_i2:384-695(-)	3	B8LPR0	Viridiplantae	GO:0009733	response to auxin
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116402_c0_g5_i6:352-663(-)	3	B8LPR0	Viridiplantae	GO:0009733	response to auxin
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116406_c1_g3_i1:142-882(+)	2	A9NTF7	Viridiplantae	GO:0009306	protein secretion
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116406_c1_g3_i1:142-882(+)	2	A9NTF7	Viridiplantae	GO:0006605	protein targeting
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116427_c1_g2_i1:204-644(-)	3	A0A3D8S3H8	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116444_c0_g4_i1:164-559(+)	1	A0A2K1XVB3	Viridiplantae	GO:0071482	cellular response to light stimulus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116444_c0_g4_i1:164-559(+)	1	A0A2K1XVB3	Viridiplantae	GO:0010239	chloroplast mRNA processing
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116444_c0_g4_i1:164-559(+)	1	A0A2K1XVB3	Viridiplantae	GO:0009658	chloroplast organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116444_c0_g4_i1:164-559(+)	1	A0A2K1XVB3	Viridiplantae	GO:0009965	leaf morphogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116444_c0_g4_i1:164-559(+)	1	A0A2K1XVB3	Viridiplantae	GO:0042254	ribosome biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116451_c2_g1_i1:282-1073(-)	3	A9NP92	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116451_c2_g1_i1:282-1073(-)	3	A9NP92	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116451_c2_g1_i4:282-1298(-)	3	A9NP92	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116451_c2_g1_i4:282-1298(-)	3	A9NP92	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116455_c3_g1_i1:2-364(+)	1	A0A4D8Z877	Viridiplantae	GO:0031047	gene silencing by RNA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116461_c0_g1_i1:1-618(+)	3	Q6WP38	Viridiplantae	GO:0015936	coenzyme A metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116461_c0_g1_i1:1-618(+)	3	Q6WP38	Viridiplantae	GO:0008299	isoprenoid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116514_c0_g1_i2:373-3945(-)	4	A0A1R3HAE7	Viridiplantae	GO:0009903	chloroplast avoidance movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116514_c0_g1_i2:373-3945(-)	4	A0A1R3HAE7	Viridiplantae	GO:0031022	nuclear migration along microfilament
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116514_c0_g1_i2:373-3945(-)	4	A0A1R3HAE7	Viridiplantae	GO:0009637	response to blue light
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116517_c0_g1_i11:1009-1476(+)	3	A0A0G2HDF9	Fungi	GO:0045901	positive regulation of translational elongation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116517_c0_g1_i11:1009-1476(+)	3	A0A0G2HDF9	Fungi	GO:0045905	positive regulation of translational termination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116517_c0_g1_i11:1009-1476(+)	3	A0A0G2HDF9	Fungi	GO:0006452	translational frameshifting
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116547_c0_g3_i1:250-1068(+)	2	A9P230	Viridiplantae	GO:0015031	protein transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116551_c0_g1_i3:1-1701(+)	1	A0A1R3I3T9	Viridiplantae	GO:0015743	malate transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116551_c0_g2_i1:1-1635(+)	3	A0A061G4C4	Viridiplantae	GO:0015743	malate transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116580_c0_g1_i1:316-1761(-)	4	A0A482EV39	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116596_c1_g8_i5:2-355(-)	3	A0A2K1ZQE0	Viridiplantae	GO:0046777	protein autophosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116603_c3_g1_i2:55-1029(+)	3	A0A0D1YZ95	Fungi	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116603_c3_g1_i2:55-1029(+)	3	A0A0D1YZ95	Fungi	GO:0006098	pentose-phosphate shunt
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116654_c0_g1_i2:1-1698(+)	4	W1P3A0	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116654_c0_g1_i2:1-1698(+)	4	W1P3A0	Viridiplantae	GO:0045489	pectin biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116665_c0_g1_i1:204-911(-)	4	A0A061FFL1	Viridiplantae	GO:0010274	hydrotropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116736_c0_g1_i2:483-944(-)	3	A2IA39	Viridiplantae	GO:0009058	biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116738_c1_g1_i3:3-1871(+)	2	B8LQT1	Viridiplantae	GO:0071249	cellular response to nitrate
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116740_c3_g3_i2:171-959(-)	1	B8LP38	Viridiplantae	GO:0006308	DNA catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116740_c3_g3_i3:383-1297(-)	1	D5ACJ2	Viridiplantae	GO:0006308	DNA catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116740_c3_g3_i6:171-1085(-)	4	B8LP38	Viridiplantae	GO:0006308	DNA catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116757_c2_g11_i5:3-410(-)	3	Q9AUI5	Viridiplantae	GO:0046274	lignin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116832_c0_g1_i1:475-1977(+)	3	A0A0D6QWW5	Viridiplantae	GO:0009082	branched-chain amino acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116879_c3_g5_i1:3-401(-)	1	A0A317XIJ3	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116891_c0_g1_i1:224-958(+)	2	B8LR66	Viridiplantae	GO:0019988	charged-tRNA amino acid modification
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116914_c0_g1_i10:754-1185(-)	2	A9NSJ5	Viridiplantae	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116921_c1_g1_i3:369-1160(-)	2	A9NKK9	Viridiplantae	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116921_c1_g1_i6:334-1125(-)	2	A9NKK9	Viridiplantae	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116927_c0_g1_i1:566-2122(-)	3	A0A0C9S9Q3	Viridiplantae	GO:0009073	aromatic amino acid family biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116927_c0_g1_i1:566-2122(-)	3	A0A0C9S9Q3	Viridiplantae	GO:0009423	chorismate biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116956_c0_g1_i5:992-1864(+)	4	A0A151RNF4	Viridiplantae	GO:0045493	xylan catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116968_c0_g1_i2:989-6547(-)	4	A0A1U8AZK1	Viridiplantae	GO:0016579	protein deubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116973_c0_g1_i2:2-463(+)	4	D5AD38	Viridiplantae	GO:0050482	arachidonic acid secretion
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116973_c0_g1_i2:2-463(+)	4	D5AD38	Viridiplantae	GO:0016042	lipid catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116973_c0_g1_i2:2-463(+)	4	D5AD38	Viridiplantae	GO:0006644	phospholipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN116975_c0_g1_i2:216-2558(+)	1	A0A0D6QW92	Viridiplantae	GO:0046514	ceramide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117010_c124_g1_i1:236-607(-)	1	Q8L8J0	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117010_c124_g1_i8:236-625(-)	1	Q8L8J0	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117010_c124_g1_i9:21-335(-)	1	Q8L8J0	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117020_c0_g2_i10:108-800(+)	2	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117020_c0_g2_i3:108-962(+)	2	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117021_c2_g1_i2:3-434(+)	3	A2IA39	Viridiplantae	GO:0009058	biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117043_c0_g1_i5:635-2248(-)	1	S6FBU0	Viridiplantae	GO:0006914	autophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117043_c0_g1_i6:649-2565(-)	1	S6FBU0	Viridiplantae	GO:0006914	autophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117043_c0_g1_i7:197-2113(-)	2	S6FBU0	Viridiplantae	GO:0006914	autophagy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117047_c4_g3_i1:16-1284(-)	4	E9NZS7	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117050_c0_g1_i1:3-584(+)	4	E9NZS6	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117071_c0_g1_i1:149-3577(+)	4	A0A0C4W3E0	Viridiplantae	GO:0031047	gene silencing by RNA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117077_c2_g2_i1:111-1421(-)	1	A0A0D6RA13	Viridiplantae	GO:0006885	regulation of pH
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g2_i5:133-624(+)	4	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g3_i1:133-585(+)	4	A9P0V0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i1:174-731(+)	8	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i2:3-608(+)	8	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i3:174-719(+)	2	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117097_c0_g4_i4:343-888(+)	1	A9NKW0	Viridiplantae	GO:0010112	regulation of systemic acquired resistance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c2_g1_i1:1-399(+)	4	A0A2S3HYX2	Viridiplantae	GO:0009860	pollen tube growth
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c2_g1_i1:1-399(+)	4	A0A2S3HYX2	Viridiplantae	GO:1902456	regulation of stomatal opening
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c2_g1_i1:1-399(+)	4	A0A2S3HYX2	Viridiplantae	GO:0010118	stomatal movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c3_g1_i2:550-2034(-)	1	W1P649	Viridiplantae	GO:0009860	pollen tube growth
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c3_g1_i2:550-2034(-)	1	W1P649	Viridiplantae	GO:1902456	regulation of stomatal opening
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117114_c3_g1_i2:550-2034(-)	1	W1P649	Viridiplantae	GO:0010118	stomatal movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117141_c0_g3_i4:134-1486(+)	2	W1NYN1	Viridiplantae	GO:0016567	protein ubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117141_c0_g3_i4:134-1486(+)	2	W1NYN1	Viridiplantae	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117141_c0_g3_i4:134-1486(+)	2	W1NYN1	Viridiplantae	GO:0006511	ubiquitin-dependent protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i1:470-1303(+)	4	A9NQC7	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i1:470-1303(+)	4	A9NQC7	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i2:591-1388(+)	4	A9NN79	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN117162_c0_g1_i2:591-1388(+)	4	A9NN79	Viridiplantae	GO:0010411	xyloglucan metabolic process
